id,x,y,z,Punch 
66,-22.497318267822266,-15.984055519104004,51.13222885131836,Upper-cut
67,-26.443082809448242,-16.505691528320312,48.622154235839844,Upper-cut
68,-29.886354446411133,-16.256837844848633,45.45884323120117,Upper-cut
69,-32.81038284301758,-15.184852600097656,42.04668045043945,Upper-cut
70,-35.45206069946289,-13.737195014953613,38.91208267211914,Upper-cut
71,-37.603206634521484,-11.93061351776123,35.674591064453125,Upper-cut
72,-39.71846389770508,-9.891928672790527,32.078182220458984,Upper-cut
73,-41.001014709472656,-8.104490280151367,27.809385299682617,Upper-cut
74,-40.9914436340332,-6.788437843322754,22.06661033630371,Upper-cut
75,-39.25425720214844,-5.4556355476379395,15.345171928405762,Upper-cut
76,-36.825538635253906,-4.024727821350098,8.841479301452637,Upper-cut
77,-34.48057556152344,-2.4191436767578125,3.1800613403320312,Upper-cut
78,-31.647472381591797,-0.9786644577980042,-1.954936146736145,Upper-cut
79,-28.395626068115234,-0.09092725813388824,-6.530013084411621,Upper-cut
80,-24.801607131958008,0.794417142868042,-9.006584167480469,Upper-cut
81,-21.406190872192383,1.648654818534851,-10.40638542175293,Upper-cut
82,-18.30509376525879,2.313859462738037,-10.882556915283203,Upper-cut
83,-15.333207130432129,2.888136863708496,-10.559526443481445,Upper-cut
84,-12.52881908416748,3.3332018852233887,-10.329814910888672,Upper-cut
85,-9.9469633102417,3.4337005615234375,-10.073782920837402,Upper-cut
86,-7.326822757720947,3.3236305713653564,-9.607182502746582,Upper-cut
87,-5.158925533294678,3.022135019302368,-8.879764556884766,Upper-cut
88,-3.3690943717956543,2.6488547325134277,-7.470392227172852,Upper-cut
89,-1.8185452222824097,2.2468605041503906,-5.560919761657715,Upper-cut
90,-0.11246266216039658,1.557727575302124,-3.8428730964660645,Upper-cut
91,1.7994025945663452,0.39481574296951294,-2.2923240661621094,Upper-cut
92,3.7663028240203857,-0.8685946464538574,-0.794417142868042,Upper-cut
93,5.6590256690979,-1.6007983684539795,0.4259224236011505,Upper-cut
94,7.401000499725342,-1.7587246894836426,0.7226324677467346,Upper-cut
95,8.63330364227295,-1.3639088869094849,0.6532405614852905,Upper-cut
96,9.592825889587402,-0.8303094506263733,0.3445664644241333,Upper-cut
97,10.339386940002441,-0.5647061467170715,-0.02153540402650833,Upper-cut
98,10.75813102722168,-0.5647061467170715,-0.3086741268634796,Upper-cut
99,10.85862922668457,-0.7106683254241943,-0.2847459018230438,Upper-cut
100,10.856236457824707,-0.9068797826766968,-0.5024927258491516,Upper-cut
101,10.557133674621582,-1.129412293434143,-0.794417142868042,Upper-cut
102,10.109675407409668,-1.4189438819885254,-1.0265209674835205,Upper-cut
103,9.805787086486816,-1.8233308792114258,-0.8087740540504456,Upper-cut
104,9.882357597351074,-2.2301106452941895,-0.8087740540504456,Upper-cut
105,10.29870891571045,-2.5124638080596924,-0.5670989751815796,Upper-cut
106,10.731809616088867,-2.60339093208313,0.09092725813388824,Upper-cut
107,11.002198219299316,-2.352144718170166,1.0169496536254883,Upper-cut
108,11.112268447875977,-1.9453648328781128,2.108076810836792,Upper-cut
109,10.789237022399902,-1.703689694404602,2.7732813358306885,Upper-cut
110,10.176674842834473,-1.8305093050003052,2.7493531703948975,Upper-cut
111,9.856036186218262,-2.117648124694824,2.342573404312134,Upper-cut
112,9.973284721374512,-2.1846470832824707,1.8951154947280884,Upper-cut
113,10.593026161193848,-1.8951154947280884,1.4859428405761719,Upper-cut
114,11.306086540222168,-1.3208380937576294,1.1676974296569824,Upper-cut
